Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
150.288478       15       18       26       20       23       27     31    24          35            8
150.891970       15       18       26       20       23       27     31    24          35            8
151.495462       15       18       26       20       23       27     31    24          35            8
152.098954       15       18       26       20       23       27     31    24          35            8
152.702446       15       18       26       20       23       27     31    24          35            8
153.305938       15       18       26       20       23       27     31    24          35            8
153.909429       15       18       26       20       23       27     31    24          35            8
154.512921       15       18       26       20       23       27     31    24          35            8
155.116413       15       18       26       20       23       27     31    24          35            8
155.719905       15       18       26       20       23       27     31    24          35            8
156.323397       15       18       26       20       23       27     31    24          35            8
156.926889       15       18       26       20       23       27     31    24          35            8
157.530381       15       18       26       20       23       27     31    24          35            8
158.133873       15       18       26       20       23       27     31    24          35            8
158.737364       15       18       26       20       23       27     31    24          35            8
159.340856       15       18       26       20       23       27     31    24          35            8
159.944348       15       18       26       20       24       27     31    24          35            8
160.547840       15       18       26       20       24       27     31    24          35            8
161.151332       15       18       26       20       24       27     31    24          35            8
161.754824       15       18       26       20       24       27     31    24          35            8
162.358316       15       18       26       20       24       27     31    24          35            8
162.961808       15       19       26       20       24       27     31    24          35            8
163.565300       15       19       26       20       24       27     31    24          35            8
164.168791       15       19       26       20       24       27     31    24          35            8
164.772283       15       19       26       20       24       27     31    24          35            8
165.375775       15       19       26       20       24       27     31    24          35            8
165.979267       15       19       26       20       24       27     31    24          35            8
166.582759       15       19       26       20       24       27     31    24          35            8
167.186251       15       19       26       20       24       27     31    24          35            8
167.789743       15       19       26       20       24       27     31    24          35            8
168.393235       15       19       26       20       24       27     31    24          35            8
168.996726       15       19       26       20       24       27     31    24          35            8
169.600218       15       19       26       20       24       27     31    24          35            8
170.203710       15       19       26       20       24       27     31    24          35            8
170.807202       15       19       26       20       24       27     31    24          35            8
171.410694       15       19       26       20       24       27     31    24          35            8
172.014186       15       19       26       20       24       27     31    24          35            8
172.617678       15       19       26       20       24       27     31    24          35            8
173.221170       15       19       26       20       24       27     31    24          35            8
173.824661       15       19       26       20       24       27     31    24          35            8
174.428153       15       19       26       20       24       27     31    24          35            8
175.031645       15       19       26       20       24       27     31    24          35            8
175.635137       15       19       26       20       24       27     31    24          35            8
176.238629       15       19       26       20       24       27     31    24          35            8
176.842121       15       19       26       20       24       27     31    24          35            8
177.445613       15       19       26       20       24       27     31    24          35            8
178.049105       15       19       26       20       24       27     31    24          35            8
178.652597       15       19       26       20       24       27     31    24          35            8
179.256088       15       19       26       20       24       27     31    24          35            8
179.859580       15       19       26       20       24       27     31    24          35            8
180.463072       15       19       26       20       24       27     31    24          35            8
181.066564       15       19       26       20       24       27     31    24          35            8
181.670056       15       19       26       20       24       27     31    24          35            8
182.273548       15       19       26       20       24       27     31    24          35            8
182.877040       15       19       26       20       24       27     31    24          35            8
183.480532       15       19       26       20       24       27     31    24          35            8
184.084023       15       19       26       20       24       27     31    24          35            8
184.687515       15       19       27       20       24       27     31    24          35            8
185.291007       15       19       27       20       24       27     31    24          35            8
185.894499       15       19       27       20       24       27     31    24          35            8
186.497991       15       19       27       20       24       27     31    24          35            8
187.101483       15       19       27       20       24       27     31    24          35            8
187.704975       15       19       27       20       24       27     31    24          35            8
188.308467       15       19       27       20       24       27     31    24          35            8
188.911959       15       19       27       20       24       27     31    24          35            8
189.515450       15       19       27       20       24       27     31    24          35            8
190.118942       15       19       27       20       24       27     31    24          35            8
190.722434       15       19       27       20       24       27     31    24          35            8
191.325926       15       19       27       20       24       27     31    24          35            8
191.929418       15       19       27       20       24       27     31    24          35            8
192.532910       15       19       27       20       24       27     31    24          35            8
193.136402       15       19       27       20       24       27     31    24          35            8
193.739894       15       19       27       20       24       27     31    24          35            8
194.343385       15       19       27       20       24       27     31    24          35            8
194.946877       15       19       27       20       24       27     31    24          35            8
195.550369       15       19       27       20       24       27     31    24          35            8
196.153861       15       19       27       20       24       27     31    24          35            8
196.757353       15       19       27       20       24       27     31    24          35            8
197.360845       15       19       27       20       24       27     31    24          35            8
197.964337       15       19       27       20       24       27     31    24          35            8
198.567829       15       19       27       20       24       27     31    24          35            8
199.171320       15       19       27       20       24       27     31    24          35            8
199.774812       15       19       27       20       24       27     31    24          35            8
200.378304       15       19       27       20       24       27     31    24          35            8
200.981796       15       19       27       20       24       27     31    24          35            8
201.585288       15       19       27       20       24       27     31    24          35            8
202.188780       15       19       27       20       24       27     31    24          35            8
202.792272       15       19       27       20       24       27     31    24          35            8
203.395764       15       19       27       20       24       27     31    24          35            8
203.999256       15       19       27       20       24       27     31    24          35            8
204.602747       15       19       27       20       24       27     31    24          35            8
205.206239       15       19       27       20       24       27     31    24          35            8
205.809731       15       19       27       20       24       27     31    24          35            8
206.413223       15       19       27       20       24       27     31    24          35            8
207.016715       15       19       27       20       24       27     31    24          35            8
207.620207       15       19       27       20       24       27     31    24          35            8
208.223699       15       19       27       20       24       27     31    24          35            8
208.827191       15       19       27       20       24       27     31    24          35            8
209.430682       15       19       27       20       24       27     31    24          35            8
210.034174       15       19       27       20       24       27     31    24          35            8
210.637666       15       19       27       20       24       27     31    24          35            8
211.241158       15       19       27       20       24       27     31    24          35            8
211.844650       15       19       27       20       24       27     31    24          35            8
212.448142       15       19       27       20       24       27     31    24          35            8
213.051634       15       19       27       20       24       27     31    24          35            8
213.655126       15       19       27       20       24       27     31    24          35            8
214.258617       15       19       27       20       24       27     31    24          35            8
214.862109       15       19       27       20       24       27     31    24          35            8
215.465601       15       19       27       20       24       27     31    24          35            8
216.069093       15       19       27       20       24       27     31    24          35            8
216.672585       15       19       27       20       24       27     31    24          35            8
217.276077       15       19       27       20       24       27     31    24          35            8
217.879569       15       19       27       20       24       27     31    24          35            8
218.483061       15       19       27       20       24       27     31    24          35            8
219.086553       15       19       27       20       24       27     31    24          35            8
219.690044       15       19       27       20       24       27     31    24          35            8
220.293536       15       19       27       20       24       27     31    24          35            8
220.897028       15       19       27       20       24       27     31    24          35            8
221.500520       15       19       27       20       24       27     31    24          35            8
222.104012       15       19       27       20       24       27     31    24          35            8
222.707504       15       19       27       20       24       27     31    24          35            8
223.310996       15       19       27       20       24       27     31    24          35            8
223.914488       15       19       27       20       24       27     31    24          35            8
224.517979       15       19       27       20       24       27     31    24          35            8
225.121471       15       19       27       20       24       27     31    24          35            8
225.724963       15       19       27       20       24       27     31    24          35            8
226.328455       15       19       27       20       24       27     31    24          35            8
226.931947       15       19       27       20       24       27     31    24          35            8
227.535439       15       19       27       20       24       27     31    24          35            8
228.138931       15       19       27       20       24       27     31    24          35            8
228.742423       15       19       27       21       24       27     31    24          35            8
229.345914       15       19       27       21       24       27     31    24          35            8
229.949406       15       19       27       21       24       27     31    24          35            8
230.552898       15       19       27       21       24       27     31    24          35            8
231.156390       15       19       27       21       24       27     31    24          35            8
231.759882       15       19       27       21       24       27     31    24          35            8
232.363374       15       19       27       21       24       27     31    24          35            8
232.966866       15       19       27       21       24       27     31    24          35            8
233.570358       15       19       27       21       24       27     31    24          35            8
234.173850       15       19       27       21       24       27     31    24          35            8
234.777341       15       19       27       21       24       27     31    24          35            8
235.380833       15       19       27       21       24       27     31    24          35            8
235.984325       15       19       27       21       24       27     31    24          35            8
236.587817       15       19       27       21       24       27     31    24          35            8
237.191309       15       19       27       21       24       27     31    24          35            8
237.794801       15       19       27       21       24       27     31    24          35            8
238.398293       15       19       27       21       24       27     31    24          35            8
239.001785       15       19       27       21       24       27     31    24          35            8
239.605276       15       19       27       21       24       27     31    24          35            8
240.208768       15       19       27       21       24       27     31    24          35            8
240.812260       15       19       27       21       24       28     31    24          35            8
241.415752       15       19       27       21       24       28     32    24          35            8
242.019244       15       19       27       21       24       28     32    24          35            8
242.622736       15       19       27       21       24       28     32    24          35            8
243.226228       15       19       27       21       24       28     32    24          35            8
243.829720       15       19       27       21       24       28     32    24          35            8
244.433211       15       19       27       21       24       28     32    24          35            8
245.036703       15       19       27       21       24       28     32    24          35            8
245.640195       15       19       27       21       24       28     32    24          35            8
246.243687       15       19       27       21       24       28     32    24          35            8
246.847179       15       19       27       21       24       28     32    24          35            8
247.450671       15       19       27       21       24       28     32    24          35            8
248.054163       15       19       27       21       24       28     32    24          35            8
248.657655       15       19       27       21       24       28     32    24          35            8
249.261147       15       19       27       21       24       28     32    24          35            8
249.864638       15       19       27       21       24       28     32    24          35            8
250.468130       15       19       27       21       24       28     32    24          35            8
251.071622       15       19       27       21       24       28     32    24          35            8
251.675114       15       19       27       21       24       28     32    24          35            8
252.278606       15       19       27       21       24       28     32    24          35            8
252.882098       15       19       27       21       24       28     32    24          35            8
253.485590       15       19       27       21       24       28     32    24          35            8
254.089082       15       19       27       21       24       28     32    24          35            8
254.692573       15       19       27       21       24       28     32    24          35            8
255.296065       15       19       27       21       24       28     32    24          35            8
255.899557       15       19       27       21       24       28     32    24          35            8
256.503049       15       19       27       21       24       28     32    24          35            8
257.106541       15       19       27       21       24       28     32    24          35            8
257.710033       15       19       27       21       24       28     32    24          35            8
258.313525       15       19       27       21       24       28     32    24          35            8
258.917017       15       19       27       21       24       28     32    24          35            8
259.520508       15       19       27       21       24       28     32    24          35            8
260.124000       15       19       27       21       24       28     32    24          35            8
260.727492       15       19       27       21       24       28     32    24          35            8
261.330984       15       19       27       21       24       28     32    24          35            8
261.934476       15       19       27       21       24       28     32    24          35            8
262.537968       15       19       27       21       24       28     32    24          35            8
263.141460       15       19       27       21       24       28     32    24          35            8
263.744952       15       19       27       21       24       28     32    24          35            8
264.348444       15       19       27       21       24       28     32    24          35            8
264.951935       15       19       27       21       24       28     32    24          35            8
265.555427       15       19       27       21       24       28     32    24          35            8
266.158919       15       19       27       21       24       28     32    24          35            8
266.762411       15       19       27       21       24       28     32    24          35            8
267.365903       15       19       27       21       24       28     32    24          35            8
267.969395       15       19       27       21       24       28     32    24          35            8
268.572887       15       19       27       21       24       28     32    24          35            8
269.176379       15       19       27       21       24       28     32    24          35            8
269.779870       15       19       27       21       24       28     32    24          35            8
270.383362       15       19       27       21       24       28     32    24          35            8
270.986854       15       19       27       21       24       28     32    24          35            8
271.590346       15       19       27       21       24       28     32    24          35            8
272.193838       15       19       27       21       24       28     32    24          35            8
272.797330       15       19       27       21       24       28     32    24          35            8
273.400822       15       19       27       21       24       28     32    24          35            8
274.004314       15       19       27       21       24       28     32    24          35            8
274.607805       15       19       27       21       24       28     32    24          35            8
275.211297       15       19       27       21       24       28     32    24          35            8
275.814789       15       19       27       21       24       28     32    24          35            8
276.418281       15       19       27       21       24       28     32    24          35            8
277.021773       15       19       27       21       24       28     32    24          35            8
277.625265       15       19       27       21       24       28     32    24          35            8
278.228757       15       19       27       21       24       28     32    24          35            8
278.832249       15       19       27       21       24       28     32    24          35            8
279.435741       15       19       27       21       24       28     32    24          35            8
280.039232       15       19       27       21       24       28     32    24          35            8
280.642724       15       19       27       21       24       28     32    24          35            8
281.246216       15       19       27       21       24       28     32    24          35            8
281.849708       15       19       27       21       24       28     32    24          35            8
282.453200       15       19       27       21       24       28     32    24          35            8
283.056692       15       19       27       21       24       28     32    24          35            8
283.660184       15       19       27       21       24       28     32    24          35            8
284.263676       15       19       27       21       24       28     32    24          35            8
284.867167       15       19       27       21       24       28     32    24          35            8
285.470659       15       19       27       21       24       28     32    24          35            8
286.074151       15       19       27       21       24       28     32    24          35            8
286.677643       15       19       27       21       24       28     32    24          35            8
287.281135       15       19       27       21       24       28     32    24          35            8
287.884627       15       19       27       21       24       28     32    24          35            8
288.488119       15       19       27       21       24       28     32    24          35            8
289.091611       15       19       27       21       24       28     32    24          35            8
289.695102       15       19       27       21       24       28     32    24          35            8
